rewire_id,text,label_sexist,label_category,label_vector,,,
sexism2022_english 16993,"Then, she's a keeper. :winking_face:",not sexist,none,none,,,
sexism2022_english 13149,"This is like the Metallica video where the poor mutilated bastard was saying ""Please kill me"" over and over again, only with emojis instead of Morse code.",not sexist,none,none,,,
sexism2022_english 13021,woman?,not sexist,none,none,,,
sexism2022_english 14998,Unlicensed day care worker reportedly tells cops she would 'rather be deported than go to jail' after allegedly breaking child's legs,not sexist,none,none,,,
sexism2022_english 7228, USER Leg day is easy. Hot girls who wear miniskirts get asked out.,sexist,3. animosity,3.3 backhanded gendered compliments,,,
sexism2022_english 4196,"I don't know if you should avoid this one or encourage her? And, can a woman rape a man? Rape, is forced sex, is it not? URL ",not sexist,none,none,,,
sexism2022_english 872,I get a new pussy every other week or whenever i want really. Didnt have to learn how to either from YouTube videos. Also PUAs dont get laid. At best they get 5 10 asian ladies after spending years pretending to be something they aren't. Its pathetic,sexist,2. derogation,2.3 dehumanising attacks overt sexual objectification,,,
sexism2022_english 11318,Release that shit,not sexist,none,none,,,
sexism2022_english 11688,Making games is a better cope. If you like games try making one. Educating yourself on things and trying to create is an underrated cope.,not sexist,none,none,,,
sexism2022_english 19587,Guaranteed she chimped after being denied use of her expired coupon.,not sexist,none,none,,,
sexism2022_english 12563,Black ops 1's first dlc was ascension,not sexist,none,none,,,
sexism2022_english 14992,O come on there's no way any men are attracted to her shes a pig:face_with_rolling_eyes:,sexist,2. derogation,2.3 dehumanising attacks overt sexual objectification,,,
sexism2022_english 7887,I don't really need to. It will be scrubbed from the earth and tossed into the trashcan of history. Your a disgusting shitty human( and I'm being far to kind to consider you human) and your profile reflects that.,not sexist,none,none,,,
sexism2022_english 8961,"We need to stop referring to all men as kings and all women as queens, this shit is getting out of hand.",not sexist,none,none,,,
sexism2022_english 141,"yes maam , I will just sit here in the corner with my Zima and my pet rock",not sexist,none,none,,,
sexism2022_english 4220,I literally HATE the Republicans. I am one but they are a disgrace,not sexist,none,none,,,
sexism2022_english 18392,sarah Jeong during her University days,not sexist,none,none,,,
sexism2022_english 16350,"A slut is a promiscuous woman, so it's just semantics.",not sexist,none,none,,,
sexism2022_english 3246,Because i rate humans on a scale for attractivness like 90 of people i know IRL it just so happens women are disgusted by me and i dont even do it IRL ?,not sexist,none,none,,,
sexism2022_english 17045,Yet it isn't over for abusers or serial killers? See that rope? You know what to do.,not sexist,none,none,,,
sexism2022_english 12966,Pompous asshole Dems show why the paying people of the USA deplore what the Beltway has become Pathetic display of moronic childishness ,not sexist,none,none,,,
sexism2022_english 7260,"Former BBC journalist Thuto Mali says that universal credit is now a woman s rights issue as it s affecting her finances. If she wants to open her legs and sprew a sprog that s her problem , my problem is I m not willing to finance the sprog",sexist,4. prejudiced discussions,4.2 supporting systemic discrimination against women as a group,,,
sexism2022_english 1391,"He should be arrested for Assault and based on his claim that he's raped women, he should be investigated. His bragging could be a confession.",not sexist,none,none,,,
sexism2022_english 2727,The only thing lewd is your innuendo young lady.,not sexist,none,none,,,
sexism2022_english 16913,"Who the fuck vacations in Haiti? Who grabs the wife kids is like ""Lets spend this summer in a garbage dump eating mud cakes""? URL ",not sexist,none,none,,,
sexism2022_english 7022,"I did. You have to have the bravery to escalate, touch her boobs etc, and work on escalating it further.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,,,
sexism2022_english 19118,"But ""he"" looks very much was born in a female body and did nothing to change that. I think if ""he"" is attractive enough of a female, she would definitely want to have sex with him.",not sexist,none,none,,,
sexism2022_english 14820,"No diff in Australia, I know a ww2 vet even with a letter from his former C.O. stating that he was one of his diggers in New Guinea fighting the Japs he was told by DVA he never served got nothing.",not sexist,none,none,,,
sexism2022_english 1301,By pressing show less you have automatically be been registered for incel 'facts' directly to your inbox daily We apologise for this feature.,not sexist,none,none,,,
sexism2022_english 13788,You would sue your own mom over burnt toast. Stay classy beta.,not sexist,none,none,,,
sexism2022_english 10788,What URGENCY? Galloway tears into muz fanatic USER as London murder rate overtakes New York: URL ,not sexist,none,none,,,
sexism2022_english 12319,"Not going to lie, the brutal honesty of this reply got me rolling haha ""I might go over and smash but I ll have to tell her to stfu or put a sock in her mouth"" lmao, godspeed brother",sexist,4. prejudiced discussions,4.1 supporting mistreatment of individual women,,,
sexism2022_english 4990,A blackpilled man can only be pleasently surprised.,not sexist,none,none,,,
sexism2022_english 5581,"Please.... take my wife, rape my daughter But whatever you do, leave the j00s alone cuckolded ""conservatives""",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,,,
sexism2022_english 2771,Pink is very feminine so I accept this bikini babe :) You've paid your dues :),sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,,,
sexism2022_english 11664,That s beta. It shows you are desperate to confirm their number as you have few options. You drop a few points with women doing that. A guy with options doesn t give a shit if the number is real or not as he has several other numbers that are real,not sexist,none,none,,,
sexism2022_english 6081,Spanner girl like a spanner wrench? So u load the missiles n stuff on the planes huh. salutes Hope they don't start any more illegal wars for oil and drugs and imperial New World Order conquest. Mabe u can just blow up ISIS and be done with it.,not sexist,none,none,,,
sexism2022_english 8429,Do yourself a favor and soft next this woman. She will only keep you down. She should make your life better not the other way around. Bad behavior and being a loser is contagious (as is divorce). DO NOT MARRY OR HAVE CHILDREN WITH THIS WOMAN ,not sexist,none,none,,,
sexism2022_english 19849,"Yes. Especially these days, it takes a lot to make a man beat a woman. Dont buy into her bullshit. She probably deserve. At least hear the version of the guy. I would make an exception if it was a severe beating.",sexist,"1. threats, plans to harm and incitement",1.2 incitement and encouragement of harm,,,
sexism2022_english 17938,Put a fork in Muslim England she's done for and there is no saving it from going full Islamic Sharia Law. What a millennium for England from being the greatest empire in the world to being evil Islam's British child rapping and acid throwing bitch.,sexist,3. animosity,"3.1 casual use of gendered slurs, profanities, and insults",,,
sexism2022_english 9987,"The she god mentality of women is going down the drain. Men make the world work and, yet, we bow to the bitches for occasional birthday present pussy. Sexbots will be realistic very soon and women's days of pussy rule will be over. #x200B;",sexist,2. derogation,2.3 dehumanising attacks overt sexual objectification,,,
sexism2022_english 2077,As a Jew. I can confirm I rape girls every night in the alleys Just kidding. You're a fucking moron rofl,not sexist,none,none,,,
sexism2022_english 7290,"The Mediterranean countries are fucking hellholes. I have heard from some expats that dating in Central Europe (France, Germany etc.) is easier and that women do approach men. Here they never approach, even chad need work hard to get pussy",sexist,3. animosity,3.2 immutable gender differences and gender stereotypes,,,
